id,adsorbate,bulk_formula,adsorption_energy,bulk_id,temperature_k,ph
ocp-000000,CO,Fe2O3,2.1227,Fe,379,10.2
ocp-000001,CO,NiO,-2.4805,Ni,1470,7.5
ocp-000002,CO,CuO,2.2645,Cu,705,2.7
ocp-000003,CO,Co3O4,1.2193,Co,1174,10.3
ocp-000004,CO,Pt,-1.3699,Pt,498,6.6
ocp-000005,CO,Pd,-0.0474,Pd,484,6.9
ocp-000006,CO,RuO2,1.0282,Ru,477,11.1
ocp-000007,CO,Mo2C,2.3113,Mo,681,12.1
ocp-000008,CO,WC,2.4767,W,756,13.1
ocp-000009,CO,V2O5,-2.0456,V,426,4.9
ocp-000010,CO,MnO2,-0.8987,Mn,318,9.4
ocp-000011,CO,ZnO,2.4891,Zn,664,13.2
ocp-000012,CO,TiO2,0.3229,Ti,797,7.4
ocp-000013,CO,CeO2,1.8977,Ce,371,3.0
ocp-000014,CO,Rh,0.568,Rh,1381,8.5
ocp-000015,CO2,Fe2O3,-1.3621,Fe,692,11.4
ocp-000016,CO2,NiO,-0.4357,Ni,1080,4.0
ocp-000017,CO2,CuO,0.3517,Cu,644,6.6
ocp-000018,CO2,Co3O4,-1.7793,Co,576,12.1
ocp-000019,CO2,Pt,-0.5966,Pt,1010,12.9
ocp-000020,CO2,Pd,0.8739,Pd,599,12.2
ocp-000021,CO2,RuO2,0.3467,Ru,1131,11.5
ocp-000022,CO2,Mo2C,-1.4555,Mo,820,10.3
ocp-000023,CO2,WC,-1.8165,W,405,5.7
ocp-000024,CO2,V2O5,-2.1327,V,1279,12.1
ocp-000025,CO2,MnO2,-2.0691,Mn,978,9.3
ocp-000026,CO2,ZnO,0.4634,Zn,897,7.5
ocp-000027,CO2,TiO2,-1.4779,Ti,977,9.1
ocp-000028,CO2,CeO2,-1.1003,Ce,712,7.1
ocp-000029,CO2,Rh,-0.0586,Rh,1002,2.5
ocp-000030,H,Fe2O3,0.7657,Fe,654,11.3
ocp-000031,H,NiO,0.2573,Ni,332,11.2
ocp-000032,H,CuO,-1.3625,Cu,1053,9.8
ocp-000033,H,Co3O4,0.1832,Co,1162,13.2
ocp-000034,H,Pt,-1.5523,Pt,1479,13.4
ocp-000035,H,Pd,-0.368,Pd,562,5.3
ocp-000036,H,RuO2,1.1218,Ru,1060,9.4
ocp-000037,H,Mo2C,0.5163,Mo,615,9.5
ocp-000038,H,WC,2.0307,W,581,8.9
ocp-000039,H,V2O5,-0.6562,V,909,11.8
ocp-000040,H,MnO2,-2.3665,Mn,492,11.4
ocp-000041,H,ZnO,-0.795,Zn,744,8.0
ocp-000042,H,TiO2,0.6821,Ti,1044,13.2
ocp-000043,H,CeO2,1.1781,Ce,763,2.4
ocp-000044,H,Rh,-0.7491,Rh,1444,5.4
ocp-000045,H2,Fe2O3,-1.3884,Fe,1150,7.8
ocp-000046,H2,NiO,-1.8695,Ni,1434,10.6
ocp-000047,H2,CuO,-1.9508,Cu,446,4.9
ocp-000048,H2,Co3O4,0.9109,Co,723,4.9
ocp-000049,H2,Pt,1.2351,Pt,605,9.9
ocp-000050,H2,Pd,-0.1304,Pd,401,6.9
ocp-000051,H2,RuO2,-2.0839,Ru,612,13.3
ocp-000052,H2,Mo2C,-2.035,Mo,1125,6.1
ocp-000053,H2,WC,0.6098,W,442,13.8
ocp-000054,H2,V2O5,-0.3689,V,324,6.0
ocp-000055,H2,MnO2,-1.584,Mn,1258,12.0
ocp-000056,H2,ZnO,-0.1347,Zn,779,8.7
ocp-000057,H2,TiO2,-2.0493,Ti,843,11.8
ocp-000058,H2,CeO2,-0.5523,Ce,848,13.9
ocp-000059,H2,Rh,1.5063,Rh,371,5.6
ocp-000060,N,Fe2O3,1.1684,Fe,333,7.3
ocp-000061,N,NiO,-0.8415,Ni,743,3.5
ocp-000062,N,CuO,0.1886,Cu,434,10.4
ocp-000063,N,Co3O4,1.7618,Co,488,5.1
ocp-000064,N,Pt,-1.5589,Pt,847,10.6
ocp-000065,N,Pd,-0.9874,Pd,718,7.7
ocp-000066,N,RuO2,1.542,Ru,1116,13.3
ocp-000067,N,Mo2C,-2.2037,Mo,431,4.7
ocp-000068,N,WC,0.8163,W,963,10.1
ocp-000069,N,V2O5,-2.2148,V,1124,13.4
ocp-000070,N,MnO2,0.5941,Mn,426,12.6
